Funder;Info;Contact;Tags
The Lenfest Institute for Journalism;"""The Lenfest Institute for Journalism is proud to fund projects and organizations building news and information products that engage and inform local communities. [...] Grantees who will use the Philadelphia metro area as a test market are especially encouraged. [...] The institute is also interested in applicants from major metro areas across the United States whose projects can be applied to Philadelphia and scaled to similar metro regions across the nation. Grant recipients working outside Philadelphia will be asked to travel to Philadelphia for meetings and events funded by the institute.";https://www.lenfestinstitute.org/grants/;
The Prince Claus Fund for Culture and Development;"""Stimulates and supports activities in the field of culture and development by granting awards, funding and producing publications [...].""";http://www.princeclausfund.org;
The Sunlight Foundation;"""The Sunlight Foundation is a national, nonpartisan, nonprofit organization that uses the tools of civic tech, open data, policy analysis and journalism to make our government and politics more accountable and transparent to all. Our vision is to use technology to enable more complete, equitable and effective democratic participation.""";http://sunlightfoundation.com/;
The Thiel Fellowship;"""The Thiel Fellowship gives $100,000 to young people who want to build new things instead of sitting in a classroom.""";http://thielfellowship.org/;
The William and Flora Hewlett Foundation;"„The Foundation's programs have ambitious goals that include: helping to reduce global poverty, limiting the risk of climate change, improving education for students in California and elsewhere, improving reproductive health and rights worldwide, supporting vibrant performing arts in our community, advancing the field of philanthropy, and supporting disadvantaged communities in the San Francisco Bay Area.“ There is also a ""Cyber Initiative“.";http://hewlett.org/about-us;
Thomas Krenn;"Sponsoring of hardware: ""Wir unterstützen Sie gerne mit Dienstleistungen, Sachspenden wie Hardware oder unserem Know-how – Geldspenden werden grundsätzlich nicht getätigt.""";https://www.thomas-krenn.com/de/unternehmen/sponsoring.html;
Tiet Foundation;"""Our mission and programs aim to support organizations that maximize impact and create change. Our grant programs seek to support high-impact, low-cost solutions to the world’s toughest problems—in particular, social injustices.""";http://www.tietfoundation.org/;offline
USAID Center for Democracy, Human Rights, and Governance;"""The DRG Center serves to elevate and integrate democracy, human rights and governance within the Agency’s overall development portfolio.""";https://www.usaid.gov/what-we-do/democracy-human-rights-and-governance;united-states
USAID’s Development Innovation Ventures;"""USAID’s Development Innovation Ventures fund, housed in the U.S. Global Development Lab, is the Agency’s venture capital-inspired, tiered, evidence-based funding model that invests comparatively small amounts in relatively unproven concepts, and based funding model that invests comparatively small amounts in relatively unproven concepts, and continues to support only those that prove they work.""";https://www.usaid.gov/div;united-states
Wallace Global Fund;"""The mission of the Wallace Global Fund is to promote an informed and engaged citizenry, to fight injustice, and to protect the diversity of nature and the natural systems upon which all life depends.""";http://wgf.org/;
Web We Want;"""A global coalition of individuals and groups working together to build a better Web foreveryone. We are concerned about the growing number of threats to the very existence of the open Web, such as censorship, surveillance and concentrations of power. But, we know that if we all work together, we can create the Web we all want.""";https://webwewant.org/;
Wikimedia Foundation;"""The Project Grants program funds Wikimedia community members - individuals, groups, or organizations contributing to Wikimedia projects such as Wikipedia or Commons - to organize projects that benefit the Wikimedia movement.""";https://meta.m.wikimedia.org/wiki/Grants:Project;worldwide,software
World Wide Web Foundation;"""The Web Foundation blends powerful advocacy, cutting-edge research, and practical innovation to build a better Web for all.""";http://webfoundation.org;
X.Org Endless Vacation of Code;"""The basic terms and conditions of this program are quite similar to Google's GSoC. The key differences are that: [...] We will also consider a broader range of proposals than GSoC: technical documentation is a specific area of interest for us.""";https://www.x.org/wiki/XorgEVoC/;worldwide,software,open-source
Zennström Philanthropies;"""Its mission is to support and engage with organisations that fight for human rights, work to stop climate change and encourage entrepreneurship in order to protect our natural environment and allow those who live in it to realize their full potential.""";http://www.zennstrom.org/;
